Leave Blank,Tags,Type,One-liner,Text,Quote author,Lecture Title,Files & media,imageName
,Semio-mimetics,text,,The human as a symbol-manipulating species.,Patricia Reed,"Spaces of Embedding within Planetary Dimensions ",,
,Phantomatics,text,,We are creatures that can create fictitious narrative worlds.,Patricia Reed,"Spaces of Embedding within Planetary Dimensions ",,
,Simutation,text,,The attempt by Jesuit missionaries in China to introduce perspective meant advocating for the convergence of sight with a particular operation of localization inherent to its space of reasons,Patricia Reed,"Spaces of Embedding within Planetary Dimensions ",,
,Semio-mimetics,text,,"Computation is a toolkit for navigating continuous spaces, bounded only the expressive limits of language for describing structures",AA Cavia,The Topological View,,
,Semio-mimetics,quote,,To realize the world becomes about our ability to create a topological site to identify entities that are said to inhabit our world,AA Cavia,The Topological View,,
,Simutation,text,,1607: Euclid is big in China.,Paul Feigelfeld,The Great Loop Forward — How Misreading Chinese Led to the Computer and what Alice did after Wonderland,,
,Simutation,text,,1689: Leibniz bases his binary arithmetics on I-ching hexagrams.,Paul Feigelfeld,The Great Loop Forward — How Misreading Chinese Led to the Computer and what Alice did after Wonderland,,
,Phantomatics,quote,,“[The gravitational model of Earth] is a physically and terrestrially impossible image”,Geoff Manaugh,Geomedia: Architecture's Geophysical Turn,Recursive%20Simulations%202a74cf35013a4690a8e39483091b0090/Screen_Shot_2023-02-09_at_16.35.19.png,impossibleearth.png
,Phantomatics,img,,"Visualisation of the Farallon Plate, a tectonic plate that disappeared under North America millions of years ago",Geoff Manaugh,Geomedia: Architecture's Geophysical Turn,Recursive%20Simulations%202a74cf35013a4690a8e39483091b0090/Screen_Shot_2023-02-09_at_16.36.47.png,farallon-plate.png
,Hypercasting,img,,Map of southern California showing active faults and motion of sites with continuous GPS monitoring,Geoff Manaugh,Geomedia: Architecture's Geophysical Turn,https://www.unavco.org/education/resources/modules-and-activities/exploring-tectonic-motions/exploring-tectonic-motions-1-large.jpg,tectonic-motions.jpg
,Phantomatics,img,,Measuring gravity changes over voids in London’s ground,Geoff Manaugh,Geomedia: Architecture's Geophysical Turn,Recursive%20Simulations%202a74cf35013a4690a8e39483091b0090/Screen_Shot_2023-02-09_at_16.59.35.png,london-gravity.png
,Phantomatics,img,,<a href=”https://www.academia.edu/31581982/Site_Interiography_and_Geophysical_Scanning_Interpreting_the_Texture_and_Form_of_Archaeological_Deposits_with_Ground_Penetrating_Radar” target=”_blank”>Site Interiography and Geophysical Scanning: Interpreting the Texture and Form of Archaeological Deposits with Ground-Penetrating Radar</a>,Geoff Manaugh,Geomedia: Architecture's Geophysical Turn,Recursive%20Simulations%202a74cf35013a4690a8e39483091b0090/Screen_Shot_2023-02-09_at_17.09.33.png,siteography.png
,Phantomatics,text,,"Architecture Apophenia: a tendency to identify intentional structures in ground analysis images. ",Geoff Manaugh,Geomedia: Architecture's Geophysical Turn,,
,Semio-mimetics,img,,The ocean in “Solaris” remains unknowable—confronting humans with how inadequate and restrictive our own cognition is,Bogna Konior,The Gnostic Machine: Artificial Intelligence in Stanisław Lem’s Summa Technologiae,Recursive%20Simulations%202a74cf35013a4690a8e39483091b0090/solaris.jpg,solaris.jpg
,Semio-mimetics,text,,Central in Lem's work is a realization that humans cannot figure or imagine real otherness. Humans are just looking for cognitive patterns already familiar to us rather than something legitimately alien.,Bogna Konior,The Gnostic Machine: Artificial Intelligence in Stanisław Lem’s Summa Technologiae,,
,Semio-mimetics,quote,,“What is the use of an intelligence we can't understand?”,Bogna Konior,The Gnostic Machine: Artificial Intelligence in Stanisław Lem’s Summa Technologiae,,
,Hypercasting,img,,Babbage was a narc.,Jimena Canales,"Computers, Artificial Intelligences, and Demons: Differences and Similarities",Recursive%20Simulations%202a74cf35013a4690a8e39483091b0090/Screenshot_2023-02-08_at_15.30.11.png,babbage.png
,Phantomatics,text,,Lem’s fiction was a mode of simulating alien or non-human-centric scenarios that probed deeper into existential questions of the human condition.,Bogna Konior,The Gnostic Machine: Artificial Intelligence in Stanisław Lem’s Summa Technologiae,,
,Phantomatics,img,,"Reconstructed image shows the boundary between light and dark around a black hole, called the event horizon. The image of the black hole is an image reconstructed from data around it, because it in essence, is not there. And this makes apparent the case around operational images which often use data captured to try to construct something that is inherently not enabled in the visual sense into a visual sense.",Jussi Parikka,Operational Images and Planetary Sensing,Recursive%20Simulations%202a74cf35013a4690a8e39483091b0090/blackhole.png,blackhole.png
,Hypognostic Synthesis,text,,"There is a ""deluded hubris"" to assume a simple causality between what we design, what we want to happen, and the actual outcomes we see in the world of our plans. History proves that no matter how controlled our planning is, there are always unintended consequences.",Bogna Konior,The Gnostic Machine: Artificial Intelligence in Stanisław Lem’s Summa Technologiae,,
,Hypognostic Synthesis,quote,,“What if humans are a phase in the history of technology?”,Bogna Konior,The Gnostic Machine: Artificial Intelligence in Stanisław Lem’s Summa Technologiae,,
,,,,,,,,
